,min,from,lat,lng
165,64,鎌倉,35.3190647,139.5504119
166,69,逗子,35.2973885,139.5783805
167,93,東逗子,35.2986836,139.6010998
168,97,田浦,35.2928072,139.637459
169,106,横須賀,35.284198,139.654875
170,104,衣笠,35.2571472,139.6610915
171,92,久里浜,35.2331101,139.7013339
172,23,御茶ノ水,35.6997175,139.7644404
173,24,水道橋,35.7020484,139.7535016
174,36,飯田橋,35.7020837,139.7450232
175,19,市ケ谷,35.6910121,139.7355674
176,18,四ツ谷,35.6861525,139.7302183
177,16,信濃町,35.6800602,139.7203199
178,9,千駄ケ谷,35.6811956,139.7112808
179,18,大久保,0.0,0.0
180,18,東中野,35.7062478,139.6837613
181,23,中野,35.7054067,139.6658254
182,26,高円寺,35.7053457,139.6499291
183,28,阿佐ケ谷,35.7049247,139.6361231
184,27,荻窪,35.7045751,139.6200629
185,33,西荻窪,35.7036961,139.600182
186,31,吉祥寺,35.7031485,139.5798087
187,34,三鷹,35.7027156,139.5610291
188,37,武蔵境,35.7021388,139.5436578
189,39,東小金井,35.7015507,139.5239042
190,41,武蔵小金井,35.7011232,139.506912
191,45,国分寺,35.7002201,139.4802697
192,53,西国分寺,35.6998082,139.4657772
193,55,国立,35.69917300000001,139.446376
194,53,日野,35.6793641,139.3940577
195,55,豊田,35.6595199,139.3815002
196,63,西八王子,35.6565083,139.3124204
197,67,高尾,35.64222609999999,139.2818312
198,77,相模湖,35.6170681,139.1889685
199,81,藤野,35.616036,139.151349
200,51,西立川,35.7036031,139.3937133
201,53,東中神,35.7063467,139.3844948
202,54,中神,35.7090171,139.3758143
203,57,昭島,35.7135485,139.3609268
204,60,拝島,35.72113,139.3436514
205,66,牛浜,35.7346625,139.3335115
206,68,福生,35.7423642,139.3278649
207,71,羽村,35.7584547,139.3159445
208,74,小作,35.7763135,139.3019204
209,77,河辺,35.7844627,139.2847176
210,79,東青梅,35.7899423,139.2723871
211,82,青梅,35.7902971,139.2583877
212,101,宮ノ平,35.7873043,139.2368877
213,103,日向和田,35.788518,139.229557
214,105,石神前,35.796767,139.22528
215,108,二俣尾,35.803878,139.216197
216,110,軍畑,35.8075713,139.207614
217,112,沢井,35.8058773,139.1937693
218,115,御嶽,35.8013769,139.1827274
219,126,川井,35.813736,139.164256
220,129,古里,35.816291,139.151063
221,133,鳩ノ巣,35.8149406,139.128745
222,70,熊川,35.7284086,139.3354048
223,72,東秋留,35.7259108,139.3108079
224,76,秋川,35.728084,139.2866522
225,78,武蔵引田,35.72986119999999,139.2702242
226,81,武蔵増戸,35.7309423,139.2563073
227,86,武蔵五日市,35.732303,139.228337
228,67,北府中,35.6807728,139.4718419
229,64,新小平,35.7309094,139.4705899
230,58,新秋津,35.77811,139.493563
231,68,東所沢,35.794886,139.514477
232,65,新座,35.8036922,139.5564949
233,65,北朝霞,35.815469,139.58722
234,57,西浦和,35.8442783,139.6280249
235,48,武蔵浦和,35.84595729999999,139.6476293
236,58,南浦和,35.8473849,139.6695734
237,81,東浦和,35.8641332,139.7046531
238,63,東川口,35.8760773,139.7439577
239,68,南越谷,35.8760514,139.7911171
