from,to,trans,req_min,req_min+walk,price,cost_performance
妙典,茅場町,0,27,36,5.5,1365.743089090927
下総中山,八丁堀,1,34,37,5.3,1380.4257375564425
新川崎,宝町,1,29,32,6.6,1384.5349263805008
西巣鴨,日本橋(東京都),1,22,31,6.9,1394.085796735185
王子,東京,0,21,33,6.4,1403.6171845222134
荒川区役所前,八丁堀,1,27,30,7.2,1404.3970656398653
北千住,東京,0,18,30,7.2,1404.3970656398653
新三河島,東京,1,19,31,7.0,1427.4686009332281
護国寺,銀座一丁目,0,20,31,7.0,1427.4686009332281
千駄木,東京,1,19,31,7.0,1427.4686009332281
落合,茅場町,0,22,31,7.0,1427.4686009332281
護国寺,日本橋(東京都),1,22,31,7.0,1427.4686009332281
新板橋,日本橋(東京都),1,24,33,6.5,1436.1190574001305
昭和島,宝町,1,30,33,6.5,1436.1190574001305
市川,宝町,1,32,35,6.0,1439.8948238925664
大森町,宝町,1,29,32,6.8,1449.248715817402
東大島,日本橋(東京都),1,25,34,6.3,1454.9825711140122
原木中山,茅場町,0,30,39,5.1,1462.0852896976728
原木中山,八丁堀,1,36,39,5.1,1462.0852896976728
根津,新富町,1,22,30,7.4,1472.5718324947902
京急蒲田,宝町,0,27,30,7.4,1472.5718324947902
馬込,八丁堀,1,27,30,7.4,1472.5718324947902
曳舟,宝町,0,27,30,7.4,1472.5718324947902
綾瀬,八丁堀,1,33,36,5.9,1486.614001419639
青井,八丁堀,1,33,36,5.9,1486.614001419639
新浦安,茅場町,1,30,39,5.2,1491.3375569155423
東池袋,新富町,0,23,31,7.2,1495.934145153893
北千住,日本橋(東京都),1,22,31,7.2,1495.934145153893
西葛西,東京,1,25,37,5.7,1500.4705095839167
三河島,日本橋(東京都),1,21,30,7.5,1508.9035874923518
大井競馬場前,宝町,1,27,30,7.5,1508.9035874923518
六町,八丁堀,1,35,38,5.5,1512.5052656127302
新柴又,宝町,0,35,38,5.5,1512.5052656127302
中野,東京,0,20,32,7.0,1517.887722522363
梅島,宝町,1,33,36,6.0,1519.7693332843223
町屋,日本橋(東京都),1,25,34,6.5,1521.568833347254
東松戸,宝町,0,34,37,5.8,1533.3992281524265
浦和,東京,0,26,38,5.6,1545.1439726267554
新大塚,茅場町,1,21,30,7.6,1546.342582582563
鶯谷,新富町,1,22,30,7.6,1546.342582582563
西大島,日本橋(東京都),1,21,30,7.6,1546.342582582563
西新井,八丁堀,0,33,36,6.1,1553.9351011361512
新川崎,東京,0,22,34,6.6,1557.0540411046861
京成小岩,宝町,1,34,37,5.9,1566.007466739752
松戸,東京,0,27,39,5.5,1586.9275338142136
新習志野,八丁堀,0,33,36,6.2,1587.7683493785237
大森,東京,0,20,32,7.2,1590.6900306925168
瑞江,宝町,1,34,37,6.0,1600.9334779388569
日暮里,茅場町,1,22,31,7.5,1607.2522889006382
東大前,茅場町,1,22,31,7.5,1607.2522889006382
駒込,東京,0,19,31,7.5,1607.2522889006382
立会川,日本橋(東京都),0,22,31,7.5,1607.2522889006382
町屋駅前,八丁堀,1,32,35,6.5,1609.0689504200736
西日暮里,宝町,1,30,33,7.0,1611.1584740163767
中野,宝町,1,30,33,7.0,1611.1584740163767
武蔵小杉,日本橋(東京都),1,27,36,6.3,1624.0064431305273
王子駅前,東京,0,24,36,6.3,1624.0064431305273
糀谷,宝町,0,29,32,7.3,1629.4878989613385
上中里,日本橋(東京都),1,25,34,6.8,1629.8314520879844
本八幡,東京,1,26,38,5.9,1646.3649152180449
大宮,東京,0,24,36,6.4,1659.8918482839858
王子,八丁堀,1,33,36,6.4,1659.8918482839858
中延,八丁堀,1,27,30,7.9,1662.450440993542
梅屋敷,宝町,1,31,34,6.9,1667.1027074232263
西馬込,八丁堀,1,31,34,6.9,1667.1027074232263
荒川二丁目,八丁堀,1,31,34,6.9,1667.1027074232263
京成八幡,宝町,0,35,38,6.0,1683.0831050657787
京急川崎,宝町,0,32,35,6.7,1683.7554053986316
東向島,宝町,1,32,35,6.7,1683.7554053986316
三ノ輪橋,茅場町,0,22,31,7.7,1686.6226192984952
東池袋,日本橋(東京都),1,24,33,7.2,1688.4343185968817
東十条,東京,0,24,36,6.5,1698.3279649395263
武蔵小山,宝町,1,27,30,8.0,1704.5689026360346
戸越公園,宝町,1,27,30,8.0,1704.5689026360346
千石,八丁堀,1,27,30,8.0,1704.5689026360346
平和島,日本橋(東京都),0,25,34,7.0,1707.0231795995228
平和島,八丁堀,1,31,34,7.0,1707.0231795995228
西新井,宝町,1,35,38,6.1,1720.9203119258113
鐘ヶ淵,八丁堀,1,32,35,6.8,1723.5573747943124
板橋区役所前,日本橋(東京都),1,26,35,6.8,1723.5573747943124
巣鴨,八丁堀,1,28,31,7.8,1728.920723584306
潮見,銀座一丁目,1,20,31,7.8,1728.920723584306
西大井,日本橋(東京都),1,22,31,7.8,1728.920723584306
本駒込,日本橋(東京都),1,22,31,7.8,1728.920723584306
下神明,宝町,1,28,31,7.8,1728.920723584306
上野,新富町,0,22,30,8.1,1747.9709590119617
板橋本町,日本橋(東京都),1,28,37,6.4,1748.5393154584008
千川,東京,1,26,38,6.2,1758.3892667593539
船橋,東京,0,26,38,6.2,1758.3892667593539
池袋,日本橋(東京都),1,24,33,7.4,1770.3973323601945
曳舟,八丁堀,1,30,33,7.4,1770.3973323601945
馬込,日本橋(東京都),0,24,33,7.4,1770.3973323601945
赤羽,八丁堀,1,33,36,6.7,1777.1574613754422
大森,日本橋(東京都),1,25,34,7.2,1788.8969741699702
大鳥居,宝町,0,31,34,7.2,1788.8969741699702
西ケ原,東京,1,25,37,6.5,1789.0281347602347
洗足池,宝町,1,34,37,6.5,1789.0281347602347
十条,東京,1,25,37,6.5,1789.0281347602347
新宿,新富町,1,22,30,8.2,1792.6957287257414
江戸川橋,茅場町,1,21,30,8.2,1792.6957287257414
三ノ輪橋,日本橋(東京都),1,23,32,7.7,1793.4571483309621
荏原町,宝町,1,29,32,7.7,1793.4571483309621
中野坂上,東京,0,23,35,7.0,1805.1881293457607
中野坂上,八丁堀,1,32,35,7.0,1805.1881293457607
赤土小学校前,東京,1,23,35,7.0,1805.1881293457607
入谷,新富町,0,25,33,7.5,1814.0771316801874
西新宿,東京,0,21,33,7.5,1814.0771316801874
立会川,東京,1,21,33,7.5,1814.0771316801874
駒込,日本橋(東京都),1,24,33,7.5,1814.0771316801874
西新宿,八丁堀,1,30,33,7.5,1814.0771316801874
南砂町,東京,1,21,33,7.5,1814.0771316801874
北池袋,東京,1,24,36,6.8,1819.167343964193
目白,日本橋(東京都),1,25,34,7.3,1832.529226721477
旗の台,宝町,1,31,34,7.3,1832.529226721477
千川,新富町,0,31,39,6.2,1844.9101672736144
本蓮沼,日本橋(東京都),1,30,39,6.2,1844.9101672736144
篠崎,宝町,1,36,39,6.2,1844.9101672736144
足立小台,東京,1,27,39,6.2,1844.9101672736144
長原,宝町,1,32,35,7.1,1848.6908608027009
荒川七丁目,八丁堀,1,32,35,7.1,1848.6908608027009
要町,東京,1,24,36,6.9,1860.7683638043493
西馬込,日本橋(東京都),0,27,36,6.9,1860.7683638043493
高円寺,日本橋(東京都),0,27,36,6.9,1860.7683638043493
築地市場,東京,1,19,31,8.1,1861.9018127412726
大井町,日本橋(東京都),1,22,31,8.1,1861.9018127412726
池袋,新富町,0,26,34,7.4,1875.7368267482382
大森海岸,宝町,1,31,34,7.4,1875.7368267482382
大久保,東京,1,22,34,7.4,1875.7368267482382
京成関屋,八丁堀,1,31,34,7.4,1875.7368267482382
川崎,八丁堀,1,35,38,6.5,1880.829571993805
梶原,東京,1,26,38,6.5,1880.829571993805
代々木上原,八丁堀,1,27,30,8.4,1882.571789090305
中延,日本橋(東京都),0,23,32,7.9,1882.9741301146594
茗荷谷,新富町,1,24,32,7.9,1882.9741301146594
王子駅前,八丁堀,1,36,39,6.3,1887.0170827010786
荒川一中前,茅場町,1,24,33,7.7,1903.6610148720033
菊川,茅場町,0,22,31,8.2,1909.5416944997157
北赤羽,東京,1,27,39,6.4,1928.7141910042278
とうきょうスカイツリー,宝町,0,29,32,8.0,1930.679596525822
荏原中延,宝町,1,29,32,8.0,1930.679596525822
青物横丁,東京,1,18,30,8.5,1931.3986297218455
馬喰町,銀座一丁目,1,19,30,8.5,1931.3986297218455
東池袋四丁目,新富町,0,27,35,7.3,1937.911591530272
千住大橋,東京,1,23,35,7.3,1937.911591530272
整備場,宝町,1,33,36,7.1,1951.2422923888291
下落合,日本橋(東京都),1,27,36,7.1,1951.2422923888291
巣鴨,東京,0,21,33,7.8,1951.402134438738
要町,新富町,0,29,37,6.9,1960.1437554119802
高円寺,八丁堀,1,34,37,6.9,1960.1437554119802
東十条,日本橋(東京都),1,30,39,6.5,1973.375102928865
鮫洲,東京,1,20,32,8.1,1979.8389262324006
大塚,東京,0,23,35,7.4,1983.6039099463158
戸越銀座,八丁堀,1,30,33,7.9,1998.6786117793058
新馬場,日本橋(東京都),1,24,33,7.9,1998.6786117793058
茗荷谷,銀座一丁目,0,22,33,7.9,1998.6786117793058
東中野,東京,1,25,37,7.0,2007.0813939276138
小村井,宝町,1,34,37,7.0,2007.0813939276138
新中野,八丁堀,1,34,37,7.0,2007.0813939276138
下板橋,東京,1,25,37,7.0,2007.0813939276138
椎名町,東京,1,26,38,6.8,2014.654299739517
阿佐ケ谷,日本橋(東京都),0,29,38,6.8,2014.654299739517
東あずま,宝町,1,36,39,6.6,2019.3970928487872
北品川,日本橋(東京都),1,23,32,8.2,2030.4964269131742
新大久保,日本橋(東京都),1,26,35,7.5,2032.5440089473127
三ノ輪,新富町,0,27,35,7.5,2032.5440089473127
後楽園,銀座一丁目,0,19,30,8.7,2033.5617744579874
蒲田,東京,0,24,36,7.3,2045.4123166176946
穴守稲荷,宝町,0,33,36,7.3,2045.4123166176946
初台,日本橋(東京都),1,24,33,8.0,2049.3154707016006
春日,宝町,1,28,31,8.5,2057.285100341593
本郷三丁目,宝町,1,28,31,8.5,2057.285100341593
木場,銀座一丁目,1,20,31,8.5,2057.285100341593
石川台,宝町,1,35,38,6.9,2060.725747631652
西巣鴨,東京,0,26,38,6.9,2060.725747631652
田園調布,宝町,1,36,39,6.7,2064.971172035927
新庚申塚,日本橋(東京都),1,30,39,6.7,2064.971172035927
都庁前,宝町,1,31,34,7.8,2067.5115017723892
牛込神楽坂,日本橋(東京都),1,21,30,8.8,2082.8230973135137
新大塚,銀座一丁目,0,24,35,7.6,2082.9755976865786
浅草,新富町,1,25,33,8.1,2101.495529515241
新中野,東京,0,26,38,7.0,2110.071924387889
新御徒町,銀座一丁目,1,20,31,8.6,2110.8794483645847
尻手,東京,1,27,39,6.8,2113.784627439729
東高円寺,東京,0,27,39,6.8,2113.784627439729
阿佐ケ谷,八丁堀,1,36,39,6.8,2113.784627439729
東高円寺,八丁堀,1,36,39,6.8,2113.784627439729
錦糸町,銀座一丁目,1,23,34,7.9,2117.6009522961376
両国,新富町,1,24,32,8.4,2132.2945271211756
五反田,東京,0,18,30,8.9,2137.7527611388473
新宿三丁目,宝町,1,27,30,8.9,2137.7527611388473
蔵前,銀座一丁目,1,19,30,8.9,2137.7527611388473
笹塚,東京,1,24,36,7.5,2145.29422711459
雑司が谷,東京,1,25,37,7.3,2154.6487234251395
東池袋四丁目,日本橋(東京都),1,28,37,7.3,2154.6487234251395
