line,from,to,trans,req_min,req_min+walk
京成千葉線,京成津田沼,宝町,0,47,50
京成千葉線,京成幕張本郷,宝町,1,57,60
京成成田空港線,京成上野,宝町,1,22,25
京成成田空港線,日暮里,宝町,1,28,31
京成成田空港線,青砥,宝町,0,24,27
京成成田空港線,京成高砂,宝町,0,27,30
京成成田空港線,東松戸,宝町,0,34,37
京成成田空港線,新鎌ヶ谷,宝町,0,39,42
京成成田空港線,千葉ニュータウン中央,宝町,0,47,50
京成成田空港線,印旛日本医大,宝町,0,52,55
京成成田空港線,成田湯川,宝町,0,54,57
京成押上線,京成曳舟,宝町,0,18,21
京成押上線,八広,宝町,0,20,23
京成押上線,四ツ木,宝町,0,23,26
京成押上線,京成立石,宝町,0,25,28
京成押上線,青砥,宝町,0,24,27
京成押上線,京成高砂,宝町,0,27,30
京成本線,八千代台,宝町,0,55,58
京成本線,実籾,宝町,1,57,60
京成本線,京成大久保,宝町,1,55,58
京成本線,京成津田沼,宝町,0,47,50
京成本線,谷津,宝町,1,55,58
京成本線,船橋競馬場,宝町,1,49,52
京成本線,大神宮下,宝町,1,48,51
京成本線,京成船橋,宝町,0,42,45
京成本線,海神,宝町,1,50,53
京成本線,京成西船,宝町,1,50,53
京成本線,東中山,宝町,1,43,46
京成本線,京成中山,宝町,1,41,44
京成本線,鬼越,宝町,1,40,43
京成本線,京成八幡,宝町,0,35,38
京成本線,菅野,宝町,1,48,51
京成本線,市川真間,宝町,1,43,46
京成本線,国府台,宝町,1,41,44
京成本線,江戸川,宝町,1,40,43
京成本線,京成小岩,宝町,1,34,37
京成本線,京成高砂,宝町,0,27,30
京成本線,青砥,宝町,0,24,27
京成本線,お花茶屋,宝町,1,28,31
京成本線,堀切菖蒲園,宝町,1,32,35
京成本線,京成関屋,宝町,1,34,37
京成本線,千住大橋,宝町,1,36,39
京成本線,町屋,宝町,1,41,44
京成本線,新三河島,宝町,1,41,44
京成本線,日暮里,宝町,1,28,31
京成本線,京成上野,宝町,1,22,25
京成金町線,京成高砂,宝町,0,27,30
京成金町線,柴又,宝町,1,34,37
京成金町線,京成金町,宝町,1,37,40
京王井の頭線,渋谷,宝町,1,25,28
京王井の頭線,明大前,宝町,1,42,45
京王井の頭線,吉祥寺,宝町,1,44,47
京王線,初台,宝町,1,33,36
京王線,幡ヶ谷,宝町,1,35,38
京王線,新宿,宝町,1,28,31
京王線,笹塚,宝町,1,37,40
京王線,代田橋,宝町,1,38,41
京王線,明大前,宝町,1,42,45
京王線,下高井戸,宝町,1,42,45
京王線,桜上水,宝町,1,46,49
京王線,上北沢,宝町,1,46,49
京王線,八幡山,宝町,1,48,51
京王線,芦花公園,宝町,1,55,58
京王線,千歳烏山,宝町,1,53,56
京王線,仙川,宝町,1,56,59
北総鉄道北総線,京成高砂,宝町,0,27,30
北総鉄道北総線,新柴又,宝町,0,35,38
北総鉄道北総線,矢切,宝町,0,37,40
北総鉄道北総線,北国分,宝町,0,40,43
北総鉄道北総線,秋山,宝町,0,42,45
北総鉄道北総線,東松戸,宝町,0,34,37
北総鉄道北総線,松飛台,宝町,0,46,49
北総鉄道北総線,大町,宝町,0,47,50
北総鉄道北総線,新鎌ヶ谷,宝町,0,39,42
北総鉄道北総線,西白井,宝町,0,44,47
北総鉄道北総線,白井,宝町,0,46,49
北総鉄道北総線,小室,宝町,0,48,51
北総鉄道北総線,千葉ニュータウン中央,宝町,0,47,50
北総鉄道北総線,印西牧の原,宝町,0,56,59
北総鉄道北総線,印旛日本医大,宝町,0,52,55
千葉モノレール1号線,千葉,宝町,1,55,58
小田急小田原線,新宿,宝町,1,28,31
小田急小田原線,小田原,宝町,1,53,56
小田急江ノ島線,藤沢,宝町,1,54,57
新京成線,京成津田沼,宝町,0,47,50
新京成線,新津田沼,宝町,1,50,53
新京成線,北習志野,宝町,1,56,59
新京成線,高根木戸,宝町,1,56,59
新京成線,高根公団,宝町,1,55,58
新京成線,滝不動,宝町,1,53,56
新京成線,三咲,宝町,1,52,55
新京成線,二和向台,宝町,1,50,53
新京成線,鎌ヶ谷大仏,宝町,1,49,52
新京成線,初富,宝町,1,46,49
新京成線,新鎌ヶ谷,宝町,0,39,42
新京成線,北初富,宝町,1,46,49
新京成線,くぬぎ山,宝町,1,49,52
新京成線,元山,宝町,1,51,54
新京成線,五香,宝町,1,52,55
新京成線,八柱,宝町,1,48,51
新京成線,松戸,宝町,1,45,48
日暮里・舎人ライナー,西日暮里,宝町,1,30,33
日暮里・舎人ライナー,日暮里,宝町,1,28,31
東京モノレール,浜松町,宝町,0,15,18
東京モノレール,天王洲アイル,宝町,1,23,26
東京モノレール,大井競馬場前,宝町,1,27,30
東京モノレール,流通センター,宝町,1,29,32
東京モノレール,昭和島,宝町,1,30,33
東京モノレール,整備場,宝町,1,33,36
東京モノレール,天空橋,宝町,0,35,38
東京モノレール,羽田空港第3ターミナル,宝町,1,37,40
東京モノレール,新整備場,宝町,1,40,43
東京モノレール,羽田空港第1ターミナル,宝町,1,41,44
東京モノレール,羽田空港第2ターミナル,宝町,1,43,46
東急世田谷線,下高井戸,宝町,1,42,45
東急多摩川線,多摩川,宝町,1,38,41
東急多摩川線,沼部,宝町,1,54,57
東急多摩川線,鵜の木,宝町,1,53,56
東急多摩川線,下丸子,宝町,1,51,54
東急多摩川線,武蔵新田,宝町,1,50,53
東急多摩川線,矢口渡,宝町,1,48,51
東急多摩川線,蒲田,宝町,0,42,45
東急大井町線,大井町,宝町,1,22,25
東急大井町線,下神明,宝町,1,28,31
東急大井町線,戸越公園,宝町,1,27,30
東急大井町線,中延,宝町,0,21,24
東急大井町線,荏原町,宝町,1,29,32
東急大井町線,旗の台,宝町,1,31,34
東急大井町線,北千束,宝町,1,36,39
東急大井町線,大岡山,宝町,1,32,35
東急大井町線,緑が丘,宝町,1,39,42
東急大井町線,自由が丘,宝町,1,38,41
東急大井町線,九品仏,宝町,1,43,46
東急大井町線,尾山台,宝町,1,45,48
東急大井町線,等々力,宝町,1,47,50
東急大井町線,上野毛,宝町,1,49,52
東急大井町線,二子玉川,宝町,1,54,57
東急大井町線,二子新地,宝町,1,56,59
東急大井町線,溝の口,宝町,1,54,57
東急新横浜線,新横浜,宝町,1,39,42
東急新横浜線,日吉,宝町,1,46,49
東急東横線,渋谷,宝町,1,25,28
東急東横線,中目黒,宝町,1,27,30
東急東横線,学芸大学,宝町,1,53,56
東急東横線,都立大学,宝町,1,54,57
東急東横線,自由が丘,宝町,1,38,41
東急東横線,田園調布,宝町,1,36,39
東急東横線,多摩川,宝町,1,38,41
東急東横線,新丸子,宝町,1,44,47
東急東横線,武蔵小杉,宝町,1,25,28
東急東横線,元住吉,宝町,1,48,51
東急東横線,日吉,宝町,1,46,49
東急東横線,東白楽,宝町,1,57,60
東急東横線,反町,宝町,1,55,58
東急東横線,横浜,宝町,0,47,50
東急池上線,五反田,宝町,0,16,19
東急池上線,大崎広小路,宝町,1,24,27
東急池上線,戸越銀座,宝町,0,24,27
東急池上線,荏原中延,宝町,1,29,32
東急池上線,旗の台,宝町,1,31,34
東急池上線,長原,宝町,1,32,35
東急池上線,洗足池,宝町,1,34,37
東急池上線,石川台,宝町,1,35,38
東急池上線,雪が谷大塚,宝町,1,37,40
東急池上線,御嶽山,宝町,1,39,42
東急池上線,久が原,宝町,1,40,43
東急池上線,千鳥町,宝町,1,44,47
東急池上線,池上,宝町,1,46,49
東急池上線,蓮沼,宝町,1,48,51
東急池上線,蒲田,宝町,0,42,45
東急田園都市線,渋谷,宝町,1,25,28
東急田園都市線,池尻大橋,宝町,1,40,43
東急田園都市線,二子玉川,宝町,1,54,57
東急田園都市線,二子新地,宝町,1,56,59
東急田園都市線,溝の口,宝町,1,54,57
東急目黒線,目黒,宝町,1,23,26
東急目黒線,不動前,宝町,1,25,28
東急目黒線,武蔵小山,宝町,1,27,30
東急目黒線,西小山,宝町,1,32,35
東急目黒線,洗足,宝町,1,34,37
東急目黒線,大岡山,宝町,1,32,35
東急目黒線,奥沢,宝町,1,38,41
東急目黒線,田園調布,宝町,1,36,39
東急目黒線,多摩川,宝町,1,38,41
東急目黒線,新丸子,宝町,1,44,47
東急目黒線,武蔵小杉,宝町,1,25,28
東急目黒線,元住吉,宝町,1,48,51
東急目黒線,日吉,宝町,1,46,49
東武亀戸線,亀戸,宝町,1,20,23
東武亀戸線,亀戸水神,宝町,1,38,41
東武亀戸線,東あずま,宝町,1,36,39
東武亀戸線,小村井,宝町,1,34,37
東武亀戸線,曳舟,宝町,0,27,30
東武伊勢崎線,浅草,宝町,0,11,14
東武伊勢崎線,とうきょうスカイツリー,宝町,0,29,32
東武伊勢崎線,曳舟,宝町,0,27,30
東武伊勢崎線,東向島,宝町,1,32,35
東武伊勢崎線,鐘ヶ淵,宝町,1,34,37
東武伊勢崎線,堀切,宝町,1,36,39
東武伊勢崎線,北千住,宝町,1,25,28
東武伊勢崎線,小菅,宝町,1,28,31
東武伊勢崎線,五反野,宝町,1,30,33
東武伊勢崎線,梅島,宝町,1,33,36
東武伊勢崎線,西新井,宝町,1,35,38
東武伊勢崎線,竹ノ塚,宝町,1,38,41
東武伊勢崎線,谷塚,宝町,1,41,44
東武伊勢崎線,草加,宝町,1,44,47
東武伊勢崎線,新田,宝町,1,49,52
東武伊勢崎線,蒲生,宝町,1,51,54
東武伊勢崎線,新越谷,宝町,1,51,54
東武伊勢崎線,越谷,宝町,1,54,57
東武大師線,西新井,宝町,1,35,38
東武東上線,小川町,宝町,1,15,18
東武東上線,霞ヶ関,宝町,1,10,13
東武東上線,池袋,宝町,1,38,41
東武野田線,大宮,宝町,1,53,56
東武野田線,柏,宝町,1,56,59
東武野田線,増尾,宝町,1,56,59
東武野田線,逆井,宝町,1,54,57
東武野田線,高柳,宝町,1,49,52
東武野田線,六実,宝町,1,47,50
東武野田線,新鎌ヶ谷,宝町,0,39,42
東武野田線,鎌ヶ谷,宝町,1,49,52
東武野田線,馬込沢,宝町,1,53,56
東武野田線,塚田,宝町,1,56,59
東武野田線,船橋,宝町,0,48,51
東葉高速線,北習志野,宝町,1,56,59
東葉高速線,飯山満,宝町,1,50,53
東葉高速線,東海神,宝町,1,49,52
東葉高速線,西船橋,宝町,1,40,43
湘南モノレール,大船,宝町,1,53,56
相鉄新横浜線,新横浜,宝町,1,39,42
相鉄本線,横浜,宝町,0,47,50
西武新宿線,西武新宿,宝町,1,49,52
西武新宿線,高田馬場,宝町,1,23,26
西武新宿線,中井,宝町,1,40,43
西武有楽町線,練馬,宝町,1,48,51
西武池袋線,池袋,宝町,1,38,41
西武池袋線,練馬,宝町,1,48,51
西武豊島線,練馬,宝町,1,48,51
都電荒川線,三ノ輪橋,宝町,1,25,28
都電荒川線,町屋駅前,宝町,1,44,47
都電荒川線,梶原,宝町,1,54,57
都電荒川線,王子駅前,宝町,1,40,43
都電荒川線,新庚申塚,宝町,1,45,48
都電荒川線,大塚駅前,宝町,1,38,41
みなとみらい線,横浜,宝町,0,47,50
みなとみらい線,新高島,宝町,1,55,58
みなとみらい線,みなとみらい,宝町,1,57,60
埼玉高速鉄道線,赤羽岩淵,宝町,1,50,53
東京メトロ丸ノ内線,池袋,宝町,1,38,41
