line,from,to,trans,min,lat,lng,price,walk_min
JR武蔵野線,東川口,虎ノ門,1,55,35.8760773,139.7439577,8.1,4
東武東上線,東武練馬,虎ノ門ヒルズ,2,53,35.7686261,139.6617156,9.9,4
JR常磐線,松戸,虎ノ門ヒルズ,1,43,35.7843004,139.9006607,8.5,4
新京成線,松戸新田,虎ノ門ヒルズ,2,52,35.7906492,139.9229877,6.9,4
都営三田線,板橋区役所前,虎ノ門ヒルズ,1,31,35.7515914,139.7097176,11.3,4
都営三田線,板橋本町,虎ノ門ヒルズ,1,33,35.7612601,139.7055333,11.0,4
京成金町線,柴又,虎ノ門ヒルズ,2,50,35.75670780000001,139.875498,8.0,4
千葉モノレール1号線,栄町,溜池山王,1,32,0.0,0.0,7.4,10
小田急多摩線,栗平,国会議事堂前,1,41,35.6060289,139.4809158,6.7,10
東武伊勢崎線,梅島,虎ノ門ヒルズ,0,44,35.7723647,139.7980149,8.7,4
東急田園都市線,梶が谷,虎ノ門,1,40,35.5937453,139.6056828,10.3,4
都電荒川線,梶原,虎ノ門,2,38,35.7510889,139.7478397,10.5,4
JR南武線,武蔵中原,虎ノ門,2,38,35.5807143,139.642107,10.4,4
JR中央線,武蔵境,国会議事堂前,1,37,35.7021388,139.5436578,11.3,10
JR南武線,武蔵小杉,虎ノ門,1,24,35.5766335,139.659466,12.0,4
JR中央線,武蔵小金井,国会議事堂前,1,42,35.7011232,139.506912,9.7,10
JR南武線,武蔵新城,虎ノ門,2,40,35.58718,139.6298424,10.0,4
東急多摩川線,武蔵新田,虎ノ門,2,37,35.5679766,139.6922031,11.3,4
JR埼京線,武蔵浦和,虎ノ門ヒルズ,1,50,35.84595729999999,139.6476293,8.9,4
JR南武線,武蔵溝ノ口,虎ノ門,1,41,35.5993971,139.6105195,11.2,4
西武新宿線,武蔵関,虎ノ門,2,50,35.72761790000001,139.5763635,9.9,4
東京メトロ副都心線,氷川台,国会議事堂前,1,31,35.7495622,139.6654662,10.3,10
西武池袋線,江古田,虎ノ門,2,42,35.737481,139.672744,11.6,4
京成本線,江戸川,虎ノ門,2,49,35.7376627,139.8960845,8.5,4
西武新宿線,沼袋,虎ノ門,2,41,35.719315,139.6644193,12.0,4
JR南武線,津田山,虎ノ門,2,45,35.6036047,139.6007276,10.2,4
東京モノレール,流通センター,虎ノ門,2,24,35.581445,139.74916,11.9,4
JR京浜東北線,浦和,虎ノ門,1,40,35.872187,139.645713,9.8,4
JR埼京線,浮間舟渡,虎ノ門,1,41,35.7912024,139.6914026,9.3,4
東急大井町線,溝の口,虎ノ門,1,38,35.5999649,139.6106234,10.9,4
都電荒川線,滝野川一丁目,内幸町,1,34,35.7472737,139.7354215,11.3,13
日暮里・舎人ライナー,熊野前,国会議事堂前,1,33,35.7485267,139.7698487,9.8,10
東武伊勢崎線,牛田,虎ノ門ヒルズ,1,43,35.744385,139.811289,11.5,4
小田急小田原線,狛江,虎ノ門,1,47,35.6323896,139.577638,9.4,4
JR京浜東北線,王子,虎ノ門,1,29,35.7529945,139.7378714,10.9,4
東京メトロ南北線,王子神谷,虎ノ門,1,32,35.7654235,139.7356263,11.0,4
都電荒川線,王子駅前,虎ノ門,1,32,35.7528359,139.7381972,11.6,4
都営新宿線,瑞江,内幸町,1,36,35.69332,139.8977053,9.0,13
西武新宿線,田無,虎ノ門,2,54,35.7273335,139.5394451,8.5,4
JR京浜東北線,田端,虎ノ門,1,28,35.7381581,139.7608154,11.4,4
京成本線,町屋,虎ノ門ヒルズ,1,29,35.742397,139.780335,11.0,4
都電荒川線,町屋二丁目,国会議事堂前,1,31,35.74369799999999,139.7770331,10.9,10
都電荒川線,町屋駅前,虎ノ門ヒルズ,1,29,35.7427846,139.7809419,11.8,4
JR南武線,登戸,国会議事堂前,0,30,35.6207662,139.5700976,10.4,10
北総鉄道北総線,矢切,虎ノ門,1,49,35.75729,139.899752,7.1,4
東急多摩川線,矢口渡,虎ノ門,2,35,35.5625586,139.7002623,11.4,4
