,line,price,from,to,trans,min,lat,lng
147,ＪＲ武蔵野線,9.4,南浦和,渋谷,1,38,35.8473849,139.6695734
148,ＪＲ武蔵野線,7.7,東浦和,渋谷,1,47,35.8641332,139.7046531
149,ＪＲ武蔵野線,9.0,東川口,渋谷,1,50,35.8752776,139.7443175
150,ＪＲ武蔵野線,6.8,越谷レイクタウン,渋谷,1,57,35.87621730000001,139.8221853
151,ＪＲ武蔵野線,7.6,新松戸,渋谷,1,58,35.8254725,139.920711
152,ＪＲ武蔵野線,9.5,西船橋,渋谷,1,44,35.7074443,139.9590775
153,ＪＲ八高線,8.5,八王子,渋谷,1,46,35.6556157,139.3388529
154,ＪＲ八高線,7.2,拝島,渋谷,1,49,35.72113,139.3436514
155,ＪＲ八高線,6.8,東福生,渋谷,2,55,35.7459195,139.3359822
156,ＪＲ八高線,4.1,小川町,渋谷,1,20,35.6951799,139.7668774
157,ＪＲ埼京線,9.0,羽沢横浜国大,渋谷,0,33,35.48117,139.5860839
158,ＪＲ埼京線,14.0,武蔵小杉,渋谷,0,14,35.5766335,139.659466
159,ＪＲ埼京線,17.3,西大井,渋谷,0,10,35.60179189999999,139.7218021
160,ＪＲ埼京線,19.6,池袋,渋谷,0,11,35.7295028,139.7109001
161,ＪＲ埼京線,17.1,板橋,渋谷,0,14,35.7454959,139.7197748
162,ＪＲ埼京線,15.5,十条,渋谷,0,16,35.760257,139.7222387
163,ＪＲ埼京線,16.0,赤羽,渋谷,0,21,35.7776951,139.7205691
164,ＪＲ埼京線,12.5,北赤羽,渋谷,0,21,35.7866831,139.706194
165,ＪＲ埼京線,12.5,浮間舟渡,渋谷,0,23,35.7912024,139.6914026
166,ＪＲ埼京線,9.7,戸田公園,渋谷,0,26,35.8080807,139.6780402
167,ＪＲ埼京線,9.8,戸田,渋谷,0,28,35.8176661,139.6696195
168,ＪＲ埼京線,9.3,北戸田,渋谷,0,30,35.827581,139.660269
169,ＪＲ埼京線,9.5,武蔵浦和,渋谷,0,32,35.84595729999999,139.6476293
170,ＪＲ埼京線,8.7,中浦和,渋谷,0,34,35.8538,139.637353
171,ＪＲ埼京線,8.4,南与野,渋谷,0,37,35.8674942,139.6311953
172,ＪＲ埼京線,8.6,与野本町,渋谷,0,39,35.88088,139.62602
173,ＪＲ埼京線,9.8,北与野,渋谷,0,41,35.8907795,139.6286808
174,ＪＲ埼京線,9.0,大宮,渋谷,0,37,35.9064485,139.6238548
175,ＪＲ高崎線,19.8,上野,渋谷,0,28,35.7141672,139.7774091
176,ＪＲ高崎線,14.0,尾久,渋谷,1,29,35.746768,139.7546
177,ＪＲ高崎線,16.0,赤羽,渋谷,0,21,35.7776951,139.7205691
178,ＪＲ高崎線,9.9,浦和,渋谷,0,31,35.8587283,139.6573784
179,ＪＲ高崎線,10.9,さいたま新都心,渋谷,1,39,35.893795,139.633741
180,ＪＲ高崎線,9.0,大宮,渋谷,0,37,35.9064485,139.6238548
