line,price,from,to,trans,min,train+walk_min,lat,lng
ＪＲ五日市線,3.3,武蔵増戸,大塚,2,78,86,35.7309423,139.2563073
ＪＲ五日市線,3.0,武蔵五日市,大塚,2,84,92,35.732303,139.228337
ＪＲ武蔵野線,5.2,府中本町,大塚,1,141,149,35.6662815,139.4770873
ＪＲ武蔵野線,5.0,北府中,大塚,1,139,147,35.6807728,139.4718419
ＪＲ武蔵野線,5.0,西国分寺,大塚,1,47,55,35.6998082,139.4657772
ＪＲ武蔵野線,4.8,新小平,大塚,2,52,60,35.7309094,139.4705899
ＪＲ武蔵野線,4.1,新秋津,大塚,1,46,54,35.77811,139.493563
ＪＲ武蔵野線,4.4,東所沢,大塚,1,125,133,35.794886,139.514477
ＪＲ武蔵野線,4.0,新座,大塚,1,121,129,35.8036922,139.5564949
ＪＲ武蔵野線,4.7,北朝霞,大塚,1,31,39,35.815469,139.58722
ＪＲ武蔵野線,4.6,西浦和,大塚,1,113,121,35.8442783,139.6280249
ＪＲ武蔵野線,4.9,武蔵浦和,大塚,1,30,38,35.84595729999999,139.6476293
ＪＲ武蔵野線,5.2,南浦和,大塚,1,30,38,35.8473849,139.6695734
ＪＲ武蔵野線,5.7,東浦和,大塚,1,104,112,35.8641332,139.7046531
ＪＲ武蔵野線,6.0,東川口,大塚,1,39,47,35.8760773,139.7439577
ＪＲ武蔵野線,5.0,南越谷,大塚,1,64,72,35.8760396,139.7910155
ＪＲ武蔵野線,6.1,越谷レイクタウン,大塚,1,93,101,35.87621730000001,139.8221853
ＪＲ武蔵野線,5.8,吉川,大塚,1,91,99,35.8765681,139.8435376
ＪＲ武蔵野線,5.5,吉川美南,大塚,1,89,97,35.8680734,139.8581553
ＪＲ武蔵野線,5.2,新三郷,大塚,1,87,95,35.8586743,139.8693395
ＪＲ武蔵野線,6.5,三郷,大塚,3,257,265,35.8448353,139.8868324
ＪＲ武蔵野線,5.0,南流山,大塚,1,50,58,35.8382182,139.9037128
ＪＲ武蔵野線,4.6,新松戸,大塚,1,41,49,35.8254725,139.920711
ＪＲ武蔵野線,5.0,新八柱,大塚,1,75,83,35.7919437,139.9383826
ＪＲ武蔵野線,6.3,東松戸,大塚,1,73,81,35.769929,139.94297
ＪＲ武蔵野線,4.5,市川大野,大塚,1,70,78,35.755403,139.951275
ＪＲ武蔵野線,5.3,船橋法典,大塚,1,67,75,35.730267,139.96683
ＪＲ武蔵野線,6.1,西船橋,大塚,1,49,57,35.7074443,139.9590775
ＪＲ八高線,3.8,八王子,大塚,1,53,61,35.655673,139.3389617
ＪＲ八高線,3.2,北八王子,大塚,2,67,75,35.6693584,139.3633717
ＪＲ八高線,3.2,小宮,大塚,2,74,82,35.685518,139.3688694
ＪＲ八高線,4.5,拝島,大塚,1,58,66,35.72113,139.3436514
ＪＲ八高線,3.5,東福生,大塚,2,64,72,35.7459195,139.3359822
ＪＲ八高線,3.8,箱根ケ崎,大塚,2,68,76,35.771662,139.346742
ＪＲ八高線,2.9,金子,大塚,2,77,85,35.810796,139.328604
ＪＲ八高線,3.7,東飯能,大塚,2,70,78,35.853014,139.32613
ＪＲ八高線,5.0,高麗川,大塚,2,80,88,35.8962482,139.3379637
ＪＲ八高線,3.2,毛呂,大塚,3,94,102,35.9407256,139.3093221
ＪＲ八高線,3.8,越生,大塚,2,76,84,35.9621867,139.2993547
ＪＲ八高線,3.8,明覚,大塚,2,94,102,36.0033412,139.2888535
ＪＲ八高線,3.8,小川町,大塚,1,27,35,36.0584173,139.2613431
ＪＲ八高線,3.3,竹沢,大塚,2,93,101,36.075486,139.2299346
ＪＲ八高線,4.0,折原,大塚,2,98,106,36.0962049,139.1952423
ＪＲ八高線,4.5,寄居,大塚,2,100,108,36.1178872,139.1945371
ＪＲ八高線,4.0,用土,大塚,2,110,118,36.1534903,139.2009318
ＪＲ八高線,2.8,松久,大塚,2,114,122,36.1729598,139.1821264
ＪＲ八高線,3.6,児玉,大塚,2,110,118,36.1925208,139.1359073
ＪＲ八高線,3.4,丹荘,大塚,2,105,113,36.2167652,139.1023958
ＪＲ八高線,2.0,群馬藤岡,大塚,2,96,104,36.2501593,139.0833239
ＪＲ八高線,3.3,北藤岡,大塚,2,91,99,36.2826529,139.0804668
ＪＲ八高線,4.3,倉賀野,大塚,1,107,115,36.3002847,139.0491638
ＪＲ八高線,4.5,高崎,大塚,1,71,79,36.3228267,139.0126623
ＪＲ埼京線,3.9,羽沢横浜国大,大塚,1,55,63,35.48117,139.5860839
