line,station,lat,lng,price,to_station,trans,train_min,walk_min,total_min
JR中央線,日野,35.6793641,139.3940577,3.9,虎ノ門ヒルズ,2,48,4,52
JR中央線,豊田,35.6595199,139.3815002,4.1,虎ノ門ヒルズ,2,50,4,54
JR中央線,八王子,35.6556157,139.3388529,3.8,虎ノ門ヒルズ,2,69,4,73
JR中央線,西八王子,35.6565083,139.3124204,3.5,虎ノ門ヒルズ,2,58,4,62
JR中央線,高尾,35.64222609999999,139.2818312,3.7,虎ノ門ヒルズ,2,62,4,66
JR久留里線,木更津,35.3815785,139.926229,5.0,虎ノ門ヒルズ,2,90,4,94
JR久留里線,祇園,33.5940958,130.4145184,5.2,虎ノ門ヒルズ,2,116,4,120
JR久留里線,上総清川,35.3909554,139.9655329,5.2,虎ノ門ヒルズ,2,119,4,123
JR久留里線,東清川,35.39002809999999,139.9858005,4.2,虎ノ門ヒルズ,2,123,4,127
JR久留里線,横田,35.3861959,140.0201175,4.0,虎ノ門ヒルズ,2,128,4,132
JR久留里線,東横田,35.3862769,140.0364353,4.0,虎ノ門ヒルズ,2,131,4,135
JR久留里線,馬来田,35.3667824,140.0585317,4.0,虎ノ門ヒルズ,2,135,4,139
JR久留里線,下郡,35.3552795,140.0554536,4.0,虎ノ門ヒルズ,2,139,4,143
JR久留里線,小櫃,35.3280923,140.0598387,4.0,虎ノ門ヒルズ,2,122,4,126
JR久留里線,俵田,35.31454000000001,140.0613769,4.0,虎ノ門ヒルズ,2,141,4,145
JR久留里線,平山,35.2742929,140.0645627,4.0,虎ノ門ヒルズ,2,134,4,138
JR久留里線,上総松丘,35.2577822,140.0640014,4.1,虎ノ門ヒルズ,2,140,4,144
JR五日市線,拝島,35.72113,139.3436514,4.5,虎ノ門ヒルズ,2,55,4,59
JR五日市線,熊川,35.7284086,139.3354048,3.6,虎ノ門ヒルズ,2,65,4,69
JR五日市線,東秋留,35.7259108,139.3108079,4.6,虎ノ門ヒルズ,2,67,4,71
JR五日市線,秋川,35.728084,139.2866522,4.8,虎ノ門ヒルズ,2,71,4,75
JR五日市線,武蔵引田,35.72986119999999,139.2702242,4.7,虎ノ門ヒルズ,2,73,4,77
JR五日市線,武蔵増戸,35.7309423,139.2563073,3.3,虎ノ門ヒルズ,2,76,4,80
JR五日市線,武蔵五日市,35.732303,139.228337,3.0,虎ノ門ヒルズ,2,81,4,85
JR京浜東北線,大宮,35.9064485,139.6238548,6.5,虎ノ門ヒルズ,2,54,4,58
JR京浜東北線,さいたま新都心,35.893795,139.633741,6.5,虎ノ門ヒルズ,2,54,4,58
JR京浜東北線,与野,35.8843917,139.6390764,5.4,虎ノ門ヒルズ,2,61,4,65
JR京浜東北線,北浦和,35.872187,139.645713,5.5,虎ノ門ヒルズ,2,58,4,62
JR京浜東北線,浦和,35.8587283,139.6573784,5.7,虎ノ門ヒルズ,2,50,4,54
JR京浜東北線,南浦和,35.8473849,139.6695734,5.2,虎ノ門ヒルズ,2,53,4,57
JR京浜東北線,蕨,35.8280777,139.6903234,5.2,虎ノ門ヒルズ,2,50,4,54
JR京浜東北線,西川口,35.8155374,139.7043642,5.3,虎ノ門ヒルズ,2,47,4,51
JR京浜東北線,川口,35.8018754,139.7177024,5.4,虎ノ門ヒルズ,2,45,4,49
JR京浜東北線,赤羽,35.7776951,139.7205691,7.0,虎ノ門ヒルズ,1,28,4,32
JR京浜東北線,東十条,35.763949,139.7268722,6.6,虎ノ門ヒルズ,2,39,4,43
JR京浜東北線,王子,35.7529945,139.7378714,6.7,虎ノ門ヒルズ,2,35,4,39
JR京浜東北線,上中里,35.7465785,139.7469573,6.9,虎ノ門ヒルズ,2,34,4,38
JR京浜東北線,田端,35.7381581,139.7608154,7.0,虎ノ門ヒルズ,2,31,4,35
JR京浜東北線,西日暮里,35.7324125,139.7677967,7.2,虎ノ門ヒルズ,1,20,4,24
JR京浜東北線,日暮里,35.7281578,139.7706414,7.7,虎ノ門ヒルズ,1,28,4,32
JR京浜東北線,鶯谷,35.7214573,139.7780133,7.7,虎ノ門ヒルズ,1,25,4,29
JR京浜東北線,上野,35.7141672,139.7774091,8.2,虎ノ門ヒルズ,1,22,4,26
JR京浜東北線,御徒町,35.7075185,139.7748564,8.9,虎ノ門ヒルズ,1,25,4,29
JR京浜東北線,秋葉原,35.698383,139.7730717,9.5,虎ノ門ヒルズ,1,18,4,22
JR京浜東北線,神田,35.6918216,139.7709318,10.1,虎ノ門ヒルズ,1,16,4,20
JR京浜東北線,東京,35.68123620000001,139.7671248,9.3,虎ノ門ヒルズ,0,13,4,17
JR京浜東北線,有楽町,35.6750133,139.7630204,11.8,虎ノ門ヒルズ,0,10,4,14
JR京浜東北線,新橋,35.666379,139.7583398,11.4,虎ノ門ヒルズ,0,14,4,18
JR京浜東北線,浜松町,35.6553809,139.7571289,10.9,虎ノ門ヒルズ,0,9,4,13
JR京浜東北線,田町,35.6457361,139.7475624,10.1,虎ノ門ヒルズ,0,12,4,16
JR京浜東北線,高輪ゲートウェイ,35.6355207,139.7406809,9.3,虎ノ門ヒルズ,1,21,4,25
JR京浜東北線,品川,35.6284713,139.7387597,9.1,虎ノ門ヒルズ,1,21,4,25
JR京浜東北線,大井町,35.6076153,139.7346592,7.9,虎ノ門ヒルズ,1,17,4,21
JR京浜東北線,大森,35.5884467,139.7278683,7.2,虎ノ門ヒルズ,1,24,4,28
JR京浜東北線,蒲田,35.5624794,139.7160731,7.4,虎ノ門ヒルズ,1,28,4,32
JR京浜東北線,川崎,35.5313654,139.696889,6.5,虎ノ門ヒルズ,2,33,4,37
JR京浜東北線,鶴見,35.5080356,139.6762625,5.9,虎ノ門ヒルズ,2,36,4,40
JR京浜東北線,新子安,35.4870546,139.6548105,5.0,虎ノ門ヒルズ,2,40,4,44
JR京浜東北線,東神奈川,35.4779292,139.6333614,6.1,虎ノ門ヒルズ,2,43,4,47
JR京浜東北線,横浜,35.46598110000001,139.622062,6.8,虎ノ門ヒルズ,2,32,4,36
JR京浜東北線,桜木町,35.4509136,139.6310595,6.8,虎ノ門ヒルズ,2,49,4,53
JR京浜東北線,関内,35.4439663,139.6354978,6.7,虎ノ門ヒルズ,2,51,4,55
JR京浜東北線,石川町,35.4387746,139.6430494,6.2,虎ノ門ヒルズ,2,53,4,57
JR京浜東北線,山手,35.42686,139.6463741,5.2,虎ノ門ヒルズ,2,55,4,59
JR京浜東北線,根岸,35.415819,139.6350457,4.0,虎ノ門ヒルズ,2,58,4,62
JR京浜東北線,磯子,35.3998639,139.6179011,3.9,虎ノ門ヒルズ,2,61,4,65
JR京浜東北線,新杉田,35.3867269,139.619549,4.2,虎ノ門ヒルズ,2,63,4,67
JR京浜東北線,洋光台,35.378769,139.597042,3.9,虎ノ門ヒルズ,2,67,4,71
JR京浜東北線,港南台,35.37513,139.576405,4.5,虎ノ門ヒルズ,2,69,4,73
JR京浜東北線,本郷台,35.3674373,139.5502526,5.0,虎ノ門ヒルズ,2,72,4,76
JR京浜東北線,大船,35.3540475,139.5312989,5.5,虎ノ門ヒルズ,2,49,4,53
JR京葉線,東京,35.68123620000001,139.7671248,9.3,虎ノ門ヒルズ,0,13,4,17
JR京葉線,八丁堀,35.6746248,139.7768846,10.3,虎ノ門ヒルズ,0,11,4,15
JR京葉線,越中島,35.6679621,139.7926487,9.0,虎ノ門ヒルズ,1,22,4,26
JR京葉線,潮見,35.6587316,139.8174046,7.9,虎ノ門ヒルズ,1,25,4,29
JR京葉線,新木場,35.6459065,139.8267917,9.3,虎ノ門ヒルズ,1,21,4,25
JR京葉線,葛西臨海公園,35.6444342,139.8615775,5.6,虎ノ門ヒルズ,2,31,4,35
JR京葉線,舞浜,35.6361543,139.8838749,5.0,虎ノ門ヒルズ,1,28,4,32
JR京葉線,新浦安,35.6495086,139.9125145,5.2,虎ノ門ヒルズ,2,31,4,35
JR京葉線,市川塩浜,35.6665779,139.9235242,4.8,虎ノ門ヒルズ,2,40,4,44
JR京葉線,二俣新町,35.6913568,139.959505,4.4,虎ノ門ヒルズ,2,49,4,53
JR京葉線,南船橋,35.6819092,139.9955789,4.7,虎ノ門ヒルズ,2,39,4,43
JR京葉線,新習志野,35.667386,140.012968,6.0,虎ノ門ヒルズ,2,55,4,59
JR京葉線,海浜幕張,35.6484764,140.0419868,6.0,虎ノ門ヒルズ,2,44,4,48
JR京葉線,検見川浜,35.637204,140.0592067,5.5,虎ノ門ヒルズ,2,48,4,52
JR京葉線,稲毛海岸,35.629503,140.073825,6.4,虎ノ門ヒルズ,2,50,4,54
JR京葉線,千葉みなと,35.606701,140.102768,6.3,虎ノ門ヒルズ,2,54,4,58
JR京葉線,蘇我,35.5814199,140.1311605,5.3,虎ノ門ヒルズ,2,58,4,62
JR信越本線（群馬県）,高崎,36.3228267,139.0126623,,虎ノ門ヒルズ,2,97,4,101
JR八高線,八王子,35.6556157,139.3388529,3.8,虎ノ門ヒルズ,2,69,4,73
JR八高線,北八王子,35.6693584,139.3633717,3.2,虎ノ門ヒルズ,2,69,4,73
JR八高線,小宮,35.685518,139.3688694,3.2,虎ノ門ヒルズ,2,81,4,85
JR八高線,拝島,35.72113,139.3436514,4.5,虎ノ門ヒルズ,2,55,4,59
JR八高線,東福生,35.7459195,139.3359822,3.5,虎ノ門ヒルズ,2,61,4,65
JR八高線,箱根ケ崎,35.771662,139.346742,3.8,虎ノ門ヒルズ,2,65,4,69
JR八高線,金子,35.810796,139.328604,2.9,虎ノ門ヒルズ,2,74,4,78
