line,from,to,trans,req_min,req_min+walk,price
JR湘南新宿ライン（高崎線・東海道線）,浦和,宝町,1,45,48,5.6
JR湘南新宿ライン（高崎線・東海道線）,赤羽,宝町,1,36,39,6.7
JR湘南新宿ライン（高崎線・東海道線）,池袋,宝町,1,38,41,7.4
JR湘南新宿ライン（高崎線・東海道線）,新宿,宝町,1,28,31,8.2
JR湘南新宿ライン（高崎線・東海道線）,渋谷,宝町,1,25,28,10.8
JR湘南新宿ライン（高崎線・東海道線）,恵比寿,宝町,1,24,27,11.0
JR湘南新宿ライン（高崎線・東海道線）,大崎,宝町,1,23,26,8.5
JR湘南新宿ライン（高崎線・東海道線）,西大井,宝町,1,20,23,7.8
JR湘南新宿ライン（高崎線・東海道線）,武蔵小杉,宝町,1,25,28,6.3
JR湘南新宿ライン（高崎線・東海道線）,新川崎,宝町,1,29,32,6.6
JR湘南新宿ライン（高崎線・東海道線）,横浜,宝町,0,47,50,6.8
JR湘南新宿ライン（高崎線・東海道線）,保土ケ谷,宝町,1,43,46,4.8
JR湘南新宿ライン（高崎線・東海道線）,東戸塚,宝町,1,47,50,5.3
JR湘南新宿ライン（高崎線・東海道線）,戸塚,宝町,1,47,50,5.0
JR湘南新宿ライン（高崎線・東海道線）,大船,宝町,1,53,56,5.7
JR相模線,入谷,宝町,1,17,20,7.5
JR総武本線,東京,宝町,1,13,16,9.6
JR総武本線,新日本橋,宝町,1,17,20,9.2
JR総武本線,馬喰町,宝町,0,14,17,8.5
JR総武本線,錦糸町,宝町,1,18,21,7.9
JR総武本線,新小岩,宝町,1,26,29,6.0
JR総武本線,市川,宝町,1,32,35,6.0
JR総武本線,船橋,宝町,0,48,51,6.2
JR総武本線,津田沼,宝町,1,43,46,5.0
JR総武本線,稲毛,宝町,1,51,54,4.9
JR総武本線,千葉,宝町,1,55,58,5.4
JR総武線快速,東京,宝町,1,13,16,9.6
JR総武線快速,新日本橋,宝町,1,17,20,9.2
JR総武線快速,馬喰町,宝町,0,14,17,8.5
JR総武線快速,錦糸町,宝町,1,18,21,7.9
JR総武線快速,新小岩,宝町,1,26,29,6.0
JR総武線快速,市川,宝町,1,32,35,6.0
JR総武線快速,船橋,宝町,0,48,51,6.2
JR総武線快速,津田沼,宝町,1,43,46,5.0
JR総武線快速,稲毛,宝町,1,51,54,4.9
JR総武線快速,千葉,宝町,1,55,58,5.4
JR高崎線,大宮,宝町,1,53,56,6.4
JR高崎線,さいたま新都心,宝町,1,50,53,6.4
JR高崎線,浦和,宝町,1,45,48,5.6
JR高崎線,赤羽,宝町,1,36,39,6.7
JR高崎線,尾久,宝町,1,30,33,6.6
JR高崎線,上野,宝町,1,14,17,8.1
JR鶴見線,鶴見,宝町,1,37,40,5.9
つくばエクスプレス,秋葉原,宝町,1,10,13,9.4
つくばエクスプレス,新御徒町,宝町,1,22,25,8.6
つくばエクスプレス,浅草,宝町,0,11,14,8.1
つくばエクスプレス,南千住,宝町,1,21,24,7.7
つくばエクスプレス,北千住,宝町,1,25,28,7.2
つくばエクスプレス,南流山,宝町,1,52,55,5.0
りんかい線,大崎,宝町,1,23,26,8.5
りんかい線,大井町,宝町,1,22,25,8.1
りんかい線,品川シーサイド,宝町,1,44,47,8.7
りんかい線,天王洲アイル,宝町,1,23,26,9.1
りんかい線,東京テレポート,宝町,1,34,37,11.9
りんかい線,国際展示場,宝町,1,41,44,9.5
京急大師線,京急川崎,宝町,0,32,35,6.7
京急大師線,港町,宝町,1,42,45,6.6
京急大師線,鈴木町,宝町,1,44,47,6.3
京急大師線,川崎大師,宝町,1,45,48,6.1
京急大師線,東門前,宝町,1,46,49,5.6
京急大師線,小島新田,宝町,1,49,52,5.7
京急本線,泉岳寺,宝町,0,11,14,9.7
京急本線,品川,宝町,0,15,18,9.1
京急本線,北品川,宝町,1,21,24,8.2
京急本線,新馬場,宝町,1,22,25,7.9
京急本線,青物横丁,宝町,0,18,21,8.5
京急本線,鮫洲,宝町,1,25,28,8.1
京急本線,立会川,宝町,0,20,23,7.5
京急本線,大森海岸,宝町,1,31,34,7.4
京急本線,平和島,宝町,0,23,26,7.0
京急本線,大森町,宝町,1,29,32,6.8
京急本線,梅屋敷,宝町,1,31,34,6.9
京急本線,京急蒲田,宝町,0,27,30,7.4
京急本線,雑色,宝町,1,39,42,6.6
京急本線,六郷土手,宝町,1,41,44,6.5
京急本線,京急川崎,宝町,0,32,35,6.7
京急本線,八丁畷,宝町,1,42,45,6.0
京急本線,鶴見市場,宝町,1,43,46,6.0
京急本線,京急鶴見,宝町,1,42,45,6.0
京急本線,生麦,宝町,1,51,54,4.9
京急本線,京急新子安,宝町,1,45,48,4.5
京急本線,子安,宝町,1,55,58,4.9
京急本線,神奈川新町,宝町,0,42,45,5.3
京急本線,神奈川,宝町,1,50,53,7.3
京急本線,横浜,宝町,0,47,50,6.8
京急本線,戸部,宝町,1,54,57,6.2
京急本線,日ノ出町,宝町,1,57,60,6.2
京急本線,上大岡,宝町,0,57,60,5.0
京急空港線,京急蒲田,宝町,0,27,30,7.4
京急空港線,糀谷,宝町,0,29,32,7.3
京急空港線,大鳥居,宝町,0,31,34,7.2
京急空港線,穴守稲荷,宝町,0,33,36,7.3
京急空港線,天空橋,宝町,0,35,38,7.2
京成千葉線,京成津田沼,宝町,0,47,50,6.0
京成千葉線,京成幕張本郷,宝町,1,57,60,4.5
京成成田空港線,京成上野,宝町,1,22,25,7.7
京成成田空港線,日暮里,宝町,1,28,31,7.5
